,date,city_name,total
0,2017-09-06,Garðabær,164
1,2017-09-06,Hafnarfjörður,194
2,2017-09-06,Kópavogur,323
3,2017-09-06,Mosfellsbær,88
4,2017-09-06,Reykjavík,1064
5,2017-09-06,Seltjarnarnes,23
6,2017-09-07,Garðabær,205
7,2017-09-07,Hafnarfjörður,245
8,2017-09-07,Kópavogur,410
9,2017-09-07,Mosfellsbær,150
10,2017-09-07,Reykjavík,1357
11,2017-09-07,Seltjarnarnes,27
12,2017-09-08,Garðabær,214
13,2017-09-08,Hafnarfjörður,261
14,2017-09-08,Kópavogur,426
15,2017-09-08,Mosfellsbær,147
16,2017-09-08,Reykjavík,1409
17,2017-09-08,Seltjarnarnes,33
18,2017-09-09,Garðabær,211
19,2017-09-09,Hafnarfjörður,269
20,2017-09-09,Kópavogur,429
21,2017-09-09,Mosfellsbær,144
22,2017-09-09,Reykjavík,1423
23,2017-09-09,Seltjarnarnes,35
24,2017-09-10,Garðabær,216
25,2017-09-10,Hafnarfjörður,271
26,2017-09-10,Kópavogur,430
27,2017-09-10,Mosfellsbær,146
28,2017-09-10,Reykjavík,1445
29,2017-09-10,Seltjarnarnes,35
30,2017-09-11,Garðabær,220
31,2017-09-11,Hafnarfjörður,269
32,2017-09-11,Kópavogur,430
33,2017-09-11,Mosfellsbær,146
34,2017-09-11,Reykjavík,1447
35,2017-09-11,Seltjarnarnes,35
36,2017-09-12,Garðabær,221
37,2017-09-12,Hafnarfjörður,272
38,2017-09-12,Kópavogur,424
39,2017-09-12,Mosfellsbær,146
40,2017-09-12,Reykjavík,1424
41,2017-09-12,Seltjarnarnes,35
42,2017-09-13,Garðabær,226
43,2017-09-13,Hafnarfjörður,277
44,2017-09-13,Kópavogur,426
45,2017-09-13,Mosfellsbær,147
46,2017-09-13,Reykjavík,1408
47,2017-09-13,Seltjarnarnes,37
48,2017-09-14,Garðabær,227
49,2017-09-14,Hafnarfjörður,276
50,2017-09-14,Kópavogur,424
51,2017-09-14,Mosfellsbær,144
52,2017-09-14,Reykjavík,1420
53,2017-09-14,Seltjarnarnes,35
54,2017-09-15,Garðabær,235
55,2017-09-15,Hafnarfjörður,278
56,2017-09-15,Kópavogur,421
57,2017-09-15,Mosfellsbær,144
58,2017-09-15,Reykjavík,1403
59,2017-09-15,Seltjarnarnes,33
60,2017-09-16,Garðabær,245
61,2017-09-16,Hafnarfjörður,281
62,2017-09-16,Kópavogur,432
63,2017-09-16,Mosfellsbær,142
64,2017-09-16,Reykjavík,1441
65,2017-09-16,Seltjarnarnes,33
66,2017-09-17,Garðabær,245
67,2017-09-17,Hafnarfjörður,277
68,2017-09-17,Kópavogur,437
69,2017-09-17,Mosfellsbær,144
70,2017-09-17,Reykjavík,1482
71,2017-09-17,Seltjarnarnes,33
72,2017-09-18,Garðabær,247
73,2017-09-18,Hafnarfjörður,278
74,2017-09-18,Kópavogur,437
75,2017-09-18,Mosfellsbær,144
76,2017-09-18,Reykjavík,1480
77,2017-09-18,Seltjarnarnes,33
78,2017-09-19,Garðabær,243
79,2017-09-19,Hafnarfjörður,277
80,2017-09-19,Kópavogur,434
81,2017-09-19,Mosfellsbær,146
82,2017-09-19,Reykjavík,1462
83,2017-09-19,Seltjarnarnes,33
84,2017-09-20,Garðabær,245
85,2017-09-20,Hafnarfjörður,274
86,2017-09-20,Kópavogur,426
87,2017-09-20,Mosfellsbær,146
88,2017-09-20,Reykjavík,1466
89,2017-09-20,Seltjarnarnes,28
90,2017-09-21,Garðabær,243
91,2017-09-21,Hafnarfjörður,279
92,2017-09-21,Kópavogur,427
93,2017-09-21,Mosfellsbær,149
94,2017-09-21,Reykjavík,1469
95,2017-09-21,Seltjarnarnes,28
96,2017-09-22,Garðabær,247
97,2017-09-22,Hafnarfjörður,289
98,2017-09-22,Kópavogur,426
99,2017-09-22,Mosfellsbær,152
100,2017-09-22,Reykjavík,1483
101,2017-09-22,Seltjarnarnes,30
102,2017-09-23,Garðabær,251
103,2017-09-23,Hafnarfjörður,297
104,2017-09-23,Kópavogur,436
105,2017-09-23,Mosfellsbær,154
106,2017-09-23,Reykjavík,1505
107,2017-09-23,Seltjarnarnes,31
108,2017-09-24,Garðabær,251
109,2017-09-24,Hafnarfjörður,297
110,2017-09-24,Kópavogur,435
111,2017-09-24,Mosfellsbær,153
112,2017-09-24,Reykjavík,1504
113,2017-09-24,Seltjarnarnes,31
114,2017-09-25,Garðabær,251
115,2017-09-25,Hafnarfjörður,297
116,2017-09-25,Kópavogur,434
117,2017-09-25,Mosfellsbær,154
118,2017-09-25,Reykjavík,1513
119,2017-09-25,Seltjarnarnes,31
120,2017-09-26,Garðabær,255
121,2017-09-26,Hafnarfjörður,300
122,2017-09-26,Kópavogur,421
123,2017-09-26,Mosfellsbær,156
124,2017-09-26,Reykjavík,1480
125,2017-09-26,Seltjarnarnes,29
126,2017-09-27,Garðabær,260
127,2017-09-27,Hafnarfjörður,293
128,2017-09-27,Kópavogur,412
129,2017-09-27,Mosfellsbær,156
130,2017-09-27,Reykjavík,1462
131,2017-09-27,Seltjarnarnes,29
132,2017-09-28,Garðabær,243
133,2017-09-28,Hafnarfjörður,295
134,2017-09-28,Kópavogur,438
135,2017-09-28,Mosfellsbær,155
136,2017-09-28,Reykjavík,1457
137,2017-09-28,Seltjarnarnes,29
138,2017-09-29,Garðabær,272
139,2017-09-29,Hafnarfjörður,289
140,2017-09-29,Kópavogur,433
141,2017-09-29,Mosfellsbær,155
142,2017-09-29,Reykjavík,1454
143,2017-09-29,Seltjarnarnes,29
144,2017-09-30,Garðabær,269
145,2017-09-30,Hafnarfjörður,285
146,2017-09-30,Kópavogur,453
147,2017-09-30,Mosfellsbær,174
148,2017-09-30,Reykjavík,1460
149,2017-09-30,Seltjarnarnes,31
150,2017-10-01,Garðabær,263
151,2017-10-01,Hafnarfjörður,286
152,2017-10-01,Kópavogur,451
153,2017-10-01,Mosfellsbær,174
154,2017-10-01,Reykjavík,1463
155,2017-10-01,Seltjarnarnes,31
156,2017-10-02,Garðabær,260
157,2017-10-02,Hafnarfjörður,282
158,2017-10-02,Kópavogur,445
159,2017-10-02,Mosfellsbær,174
160,2017-10-02,Reykjavík,1467
161,2017-10-02,Seltjarnarnes,31
162,2017-10-03,Garðabær,264
163,2017-10-03,Hafnarfjörður,278
164,2017-10-03,Kópavogur,446
165,2017-10-03,Mosfellsbær,175
166,2017-10-03,Reykjavík,1450
167,2017-10-03,Seltjarnarnes,28
168,2017-10-04,Garðabær,266
169,2017-10-04,Hafnarfjörður,270
