date,income_first,income_other,max_loan_first,max_loan_other,properties_for_first,properties_for_other,month,total
2017-09-12,600000.0,900000.0,31123156.571450483,31123156.571450483,393,1057,2017-09-01,2522
2017-09-13,600000.0,900000.0,31123156.571450483,31123156.571450483,399,1065,2017-09-01,2521
2017-09-14,600000.0,900000.0,31123156.571450483,31123156.571450483,396,1071,2017-09-01,2526
2017-09-15,600000.0,900000.0,31123156.571450483,31123156.571450483,397,1065,2017-09-01,2514
2017-09-16,600000.0,900000.0,31123156.571450483,31123156.571450483,415,1083,2017-09-01,2574
2017-09-17,600000.0,900000.0,31123156.571450483,31123156.571450483,417,1089,2017-09-01,2618
2017-09-18,600000.0,900000.0,31123156.571450483,31123156.571450483,417,1090,2017-09-01,2619
2017-09-19,600000.0,900000.0,31123156.571450483,31123156.571450483,421,1076,2017-09-01,2595
2017-09-20,600000.0,900000.0,31123156.571450483,31123156.571450483,421,1073,2017-09-01,2585
2017-09-21,600000.0,900000.0,31123156.571450483,31123156.571450483,414,1063,2017-09-01,2595
2017-09-22,600000.0,900000.0,31123156.571450483,31123156.571450483,431,1086,2017-09-01,2627
2017-09-23,600000.0,900000.0,31123156.571450483,31123156.571450483,440,1125,2017-09-01,2674
2017-09-24,600000.0,900000.0,31123156.571450483,31123156.571450483,438,1116,2017-09-01,2671
2017-09-25,600000.0,900000.0,31123156.571450483,31123156.571450483,431,1114,2017-09-01,2680
2017-09-26,600000.0,900000.0,31123156.571450483,31123156.571450483,424,1090,2017-09-01,2641
2017-09-27,600000.0,900000.0,31123156.571450483,31123156.571450483,419,1081,2017-09-01,2612
2017-09-28,600000.0,900000.0,31123156.571450483,31123156.571450483,431,1084,2017-09-01,2617
2017-09-29,600000.0,900000.0,31123156.571450483,31123156.571450483,425,1084,2017-09-01,2632
2017-09-30,600000.0,900000.0,31123156.571450483,31123156.571450483,436,1087,2017-09-01,2672
2017-10-01,600000.0,900000.0,31123156.571450483,31123156.571450483,433,1084,2017-09-01,2668
2017-10-02,600000.0,900000.0,31123156.571450483,31123156.571450483,432,1085,2017-10-01,2659
2017-10-03,600000.0,900000.0,31123156.571450483,31123156.571450483,428,1070,2017-10-01,2641
2017-10-04,600000.0,900000.0,31123156.571450483,31123156.571450483,429,1080,2017-10-01,2659
2017-10-05,600000.0,900000.0,31123156.571450483,31123156.571450483,428,1077,2017-10-01,2626
2017-10-06,600000.0,900000.0,31123156.571450483,31123156.571450483,422,1064,2017-10-01,2618
2017-10-07,600000.0,900000.0,31123156.571450483,31123156.571450483,432,1064,2017-10-01,2628
2017-10-08,600000.0,900000.0,31123156.571450483,31123156.571450483,442,1078,2017-10-01,2649
2017-10-09,600000.0,900000.0,31123156.571450483,31123156.571450483,442,1090,2017-10-01,2664
