,date,city_name,total
0,2017-09-06,Garðabær,34
1,2017-09-06,Hafnarfjörður,2
2,2017-09-06,Kópavogur,80
3,2017-09-06,Mosfellsbær,51
4,2017-09-06,Reykjavík,27
5,2017-09-07,Garðabær,45
6,2017-09-07,Hafnarfjörður,2
7,2017-09-07,Kópavogur,105
8,2017-09-07,Mosfellsbær,89
9,2017-09-07,Reykjavík,29
10,2017-09-08,Garðabær,45
11,2017-09-08,Hafnarfjörður,2
12,2017-09-08,Kópavogur,107
13,2017-09-08,Mosfellsbær,87
14,2017-09-08,Reykjavík,31
15,2017-09-09,Garðabær,41
16,2017-09-09,Hafnarfjörður,2
17,2017-09-09,Kópavogur,105
18,2017-09-09,Mosfellsbær,87
19,2017-09-09,Reykjavík,31
20,2017-09-10,Garðabær,41
21,2017-09-10,Hafnarfjörður,2
22,2017-09-10,Kópavogur,105
23,2017-09-10,Mosfellsbær,87
24,2017-09-10,Reykjavík,29
25,2017-09-11,Garðabær,45
26,2017-09-11,Hafnarfjörður,2
27,2017-09-11,Kópavogur,105
28,2017-09-11,Mosfellsbær,87
29,2017-09-11,Reykjavík,29
30,2017-09-12,Garðabær,45
31,2017-09-12,Hafnarfjörður,2
32,2017-09-12,Kópavogur,104
33,2017-09-12,Mosfellsbær,87
34,2017-09-12,Reykjavík,29
35,2017-09-13,Garðabær,45
36,2017-09-13,Kópavogur,104
37,2017-09-13,Mosfellsbær,87
38,2017-09-13,Reykjavík,29
39,2017-09-14,Garðabær,45
40,2017-09-14,Kópavogur,99
41,2017-09-14,Mosfellsbær,84
42,2017-09-14,Reykjavík,47
43,2017-09-15,Garðabær,51
44,2017-09-15,Kópavogur,99
45,2017-09-15,Mosfellsbær,84
46,2017-09-15,Reykjavík,46
47,2017-09-16,Garðabær,51
48,2017-09-16,Kópavogur,98
49,2017-09-16,Mosfellsbær,84
50,2017-09-16,Reykjavík,46
51,2017-09-17,Garðabær,51
52,2017-09-17,Kópavogur,98
53,2017-09-17,Mosfellsbær,84
54,2017-09-17,Reykjavík,46
55,2017-09-18,Garðabær,51
56,2017-09-18,Kópavogur,98
57,2017-09-18,Mosfellsbær,84
58,2017-09-18,Reykjavík,46
59,2017-09-19,Garðabær,49
60,2017-09-19,Kópavogur,98
61,2017-09-19,Mosfellsbær,84
62,2017-09-19,Reykjavík,52
63,2017-09-20,Garðabær,49
64,2017-09-20,Kópavogur,98
65,2017-09-20,Mosfellsbær,84
66,2017-09-20,Reykjavík,52
67,2017-09-21,Garðabær,49
68,2017-09-21,Kópavogur,100
69,2017-09-21,Mosfellsbær,84
70,2017-09-21,Reykjavík,52
71,2017-09-22,Garðabær,49
72,2017-09-22,Kópavogur,100
73,2017-09-22,Mosfellsbær,86
74,2017-09-22,Reykjavík,52
75,2017-09-23,Garðabær,49
76,2017-09-23,Kópavogur,100
77,2017-09-23,Mosfellsbær,88
78,2017-09-23,Reykjavík,51
79,2017-09-24,Garðabær,49
80,2017-09-24,Kópavogur,100
81,2017-09-24,Mosfellsbær,88
82,2017-09-24,Reykjavík,53
83,2017-09-25,Garðabær,49
84,2017-09-25,Kópavogur,100
85,2017-09-25,Mosfellsbær,88
86,2017-09-25,Reykjavík,53
87,2017-09-26,Garðabær,55
88,2017-09-26,Kópavogur,98
89,2017-09-26,Mosfellsbær,90
90,2017-09-26,Reykjavík,53
91,2017-09-27,Garðabær,66
92,2017-09-27,Kópavogur,98
93,2017-09-27,Mosfellsbær,90
94,2017-09-27,Reykjavík,53
95,2017-09-28,Garðabær,60
96,2017-09-28,Kópavogur,115
97,2017-09-28,Mosfellsbær,87
98,2017-09-28,Reykjavík,49
99,2017-09-29,Garðabær,68
100,2017-09-29,Kópavogur,116
101,2017-09-29,Mosfellsbær,87
102,2017-09-29,Reykjavík,48
103,2017-09-30,Garðabær,68
104,2017-09-30,Kópavogur,123
105,2017-09-30,Mosfellsbær,92
106,2017-09-30,Reykjavík,48
107,2017-10-01,Garðabær,68
108,2017-10-01,Kópavogur,123
109,2017-10-01,Mosfellsbær,92
110,2017-10-01,Reykjavík,48
111,2017-10-02,Garðabær,68
112,2017-10-02,Kópavogur,123
113,2017-10-02,Mosfellsbær,92
114,2017-10-02,Reykjavík,48
115,2017-10-03,Garðabær,67
116,2017-10-03,Kópavogur,121
117,2017-10-03,Mosfellsbær,90
118,2017-10-03,Reykjavík,47
119,2017-10-04,Garðabær,67
120,2017-10-04,Kópavogur,117
121,2017-10-04,Mosfellsbær,90
122,2017-10-04,Reykjavík,45
123,2017-10-05,Garðabær,67
124,2017-10-05,Kópavogur,117
125,2017-10-05,Mosfellsbær,92
126,2017-10-05,Reykjavík,45
127,2017-10-06,Garðabær,65
128,2017-10-06,Kópavogur,117
129,2017-10-06,Mosfellsbær,91
130,2017-10-06,Reykjavík,46
131,2017-10-07,Garðabær,63
132,2017-10-07,Kópavogur,119
133,2017-10-07,Mosfellsbær,91
134,2017-10-07,Reykjavík,46
135,2017-10-08,Garðabær,63
136,2017-10-08,Kópavogur,119
137,2017-10-08,Mosfellsbær,91
138,2017-10-08,Reykjavík,46
139,2017-10-09,Garðabær,64
140,2017-10-09,Kópavogur,119
141,2017-10-09,Mosfellsbær,91
142,2017-10-09,Reykjavík,46
143,2017-10-10,Garðabær,65
144,2017-10-10,Kópavogur,120
145,2017-10-10,Mosfellsbær,88
146,2017-10-10,Reykjavík,46
147,2017-10-11,Garðabær,65
148,2017-10-11,Kópavogur,120
149,2017-10-11,Mosfellsbær,86
150,2017-10-11,Reykjavík,46
151,2017-10-12,Garðabær,65
152,2017-10-12,Kópavogur,118
153,2017-10-12,Mosfellsbær,88
154,2017-10-12,Reykjavík,49
155,2017-10-13,Garðabær,65
156,2017-10-13,Kópavogur,116
157,2017-10-13,Mosfellsbær,88
158,2017-10-13,Reykjavík,49
159,2017-10-14,Garðabær,65
